epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2066.09,0.93557,0.82322,1.24999,0.88513,0.68703,0.71445,0.55924,0.84138,0.99817,1.26893,0.000344643,0.000344643,0.000344643
55,2103.95,0.93984,0.81532,1.25374,0.86283,0.64579,0.70401,0.5338,0.86486,0.97275,1.30132,0.000339465,0.000339465,0.000339465
56,2142.05,0.93199,0.80826,1.23362,0.8853,0.69296,0.71574,0.56227,0.84027,1.04997,1.3019,0.000334244,0.000334244,0.000334244
57,2180.16,0.93507,0.81904,1.24942,0.85369,0.58694,0.67222,0.50475,0.84433,0.97778,1.26302,0.000328982,0.000328982,0.000328982
58,2218.22,0.92007,0.80269,1.22775,0.91914,0.5496,0.72118,0.56993,0.835,1.02191,1.2679,0.000323681,0.000323681,0.000323681
59,2256.2,0.92789,0.80347,1.24341,0.81437,0.70116,0.69338,0.51264,0.88588,1.02853,1.29775,0.000318344,0.000318344,0.000318344
60,2294.14,0.949,0.81789,1.26227,0.77627,0.73257,0.69098,0.52837,0.84934,0.91673,1.31246,0.000312974,0.000312974,0.000312974
61,2332.02,0.9031,0.76819,1.21824,0.52471,0.74277,0.73356,0.5786,0.83992,0.90529,1.25296,0.000307574,0.000307574,0.000307574
62,2370.64,0.91628,0.78527,1.22403,0.83628,0.61662,0.69386,0.51962,0.84387,0.89592,1.28806,0.000302146,0.000302146,0.000302146
63,2408.62,0.89392,0.76271,1.2217,0.90159,0.71015,0.74254,0.57653,0.81714,0.83656,1.22502,0.000296693,0.000296693,0.000296693
64,2446.84,0.90952,0.76862,1.22597,0.81074,0.7311,0.72002,0.573,0.85714,0.86135,1.312,0.000291218,0.000291218,0.000291218
65,2484.95,0.90878,0.76366,1.21352,0.75967,0.73427,0.69218,0.54945,0.83729,0.88284,1.26701,0.000285723,0.000285723,0.000285723
66,2523.03,0.88642,0.75333,1.20384,0.73194,0.68135,0.73129,0.57357,0.83714,0.99173,1.3319,0.000280211,0.000280211,0.000280211
67,2560.96,0.89366,0.74819,1.22455,0.9135,0.65926,0.7359,0.59299,0.86087,0.94386,1.31611,0.000274686,0.000274686,0.000274686
68,2599.35,0.89484,0.76057,1.21561,0.86307,0.65909,0.70287,0.55636,0.83189,1.09718,1.31895,0.000269149,0.000269149,0.000269149
69,2637.4,0.88581,0.7368,1.21226,0.88366,0.70488,0.71379,0.55937,0.8041,1.05303,1.25893,0.000263604,0.000263604,0.000263604
70,2675.43,0.86769,0.73285,1.19675,0.88103,0.62713,0.6821,0.5453,0.86599,1.00993,1.3574,0.000258053,0.000258053,0.000258053
